array,short_name,AFR.mean_sd_cov,AMR.mean_sd_cov,EAS.mean_sd_cov,EUR.mean_sd_cov,SAS.mean_sd_cov,VNP.mean_sd_cov
human-cytosnp-12-v2.1,CytoSNP-12,0.5126±0.0643,0.7797±0.0591,0.7276±0.059,0.7721±0.06,0.7239±0.0628,0.8687±0.047
infinium-core-v1.2,Infinium_Core,0.6075±0.0912,0.807±0.0585,0.7572±0.0604,0.7954±0.0589,0.7586±0.0654,0.8825±0.0428
oncoarray-500k,Infinium_OncoArray,0.6767±0.077,0.8454±0.0463,0.7892±0.0508,0.8381±0.0464,0.8019±0.0535,0.9041±0.0367
infinium-psycharray-v1.3,PsychArray,0.6593±0.0758,0.8333±0.0483,0.7789±0.0522,0.8226±0.0485,0.7855±0.055,0.8978±0.0367
Axiom_GW_ASI,Axiom_GW_ASI,0.7409±0.1153,0.8411±0.0828,0.8089±0.0854,0.8292±0.0839,0.8127±0.09,0.9013±0.0687
global-screening-array-v.3,Infinium_GSA,0.64±0.0851,0.8509±0.0493,0.785±0.0548,0.8382±0.0522,0.8035±0.057,0.9211±0.0351
Axiom_GW_CHB,Axiom_GW_CHB,0.7329±0.0545,0.8584±0.0291,0.8198±0.0275,0.8413±0.0288,0.8202±0.0323,0.93±0.0174
Axiom_JAPONICA,Axiom_JAPONICA,0.73±0.0622,0.8936±0.0313,0.8851±0.031,0.8778±0.031,0.8673±0.0352,0.964±0.0175
Axiom_GW_EUR,Axiom_GW_EUR,0.6989±0.1257,0.8428±0.0898,0.7867±0.0942,0.8483±0.0888,0.8133±0.0972,0.8865±0.0794
chinese-genotyping-array-v1.0,Infinium_Chinese,0.7676±0.0577,0.8869±0.0339,0.8496±0.0387,0.874±0.0342,0.8608±0.0393,0.9433±0.0253
japanese-screening-array-v1.0,Infinium_JSA,0.641±0.0679,0.848±0.0406,0.8026±0.0439,0.8269±0.0415,0.8001±0.045,0.9352±0.0251
Axiom_UKB_WCSG,Axiom_UKB,0.7158±0.047,0.9109±0.0255,0.8418±0.0303,0.9202±0.024,0.8815±0.0299,0.9473±0.019
cytosnp-850k-v1.2,CytoSNP-850K,0.8413±0.0489,0.8984±0.0316,0.8575±0.0378,0.8932±0.0308,0.8738±0.038,0.9436±0.0254
Axiom_PMRA,Axiom_PMRA,0.8303±0.0372,0.8952±0.0299,0.8564±0.0337,0.888±0.0296,0.8618±0.0335,0.9506±0.0207
Axiom_PMDA,Axiom_PMDA,0.8621±0.024,0.9113±0.0181,0.8489±0.0235,0.9073±0.0185,0.8762±0.0239,0.9513±0.0119
GenomeWideSNP_6.0,Affymetrix_6.0,0.8264±0.0734,0.8761±0.0477,0.8291±0.0543,0.867±0.0492,0.8466±0.0562,0.9242±0.0388
infinium-omnizhonghua-v1.4,OmniZhongHua,0.8845±0.0365,0.9183±0.0269,0.8923±0.0304,0.9142±0.0257,0.9027±0.0306,0.9615±0.0204
multi-ethnic-eur-eas-sas-v1.0,Multi-Ethnic_EUR_EAS_SAS,0.8599±0.051,0.9147±0.0317,0.8774±0.0387,0.9109±0.0319,0.8925±0.0379,0.956±0.0251
multi-ethnic-global-v1.0,Multi-Ethnic_Global,0.8797±0.0453,0.9188±0.0301,0.8816±0.0371,0.915±0.0305,0.8966±0.0362,0.9589±0.0237
infinium-global-diversity-array-v1.0,Infinium_GDA,0.8866±0.0398,0.923±0.0271,0.8868±0.0326,0.9195±0.027,0.9018±0.0321,0.9623±0.0204
Axiom_GW_PanAFR,Axiom_GW_PanAFR,0.9233±0.0242,0.9148±0.0239,0.8833±0.0262,0.9089±0.0231,0.901±0.0265,0.9565±0.0175
infinium-omni2.5.v1.5,Infinium_Omni2.5,0.9143±0.0294,0.928±0.0249,0.9011±0.0279,0.9279±0.0239,0.9148±0.0279,0.965±0.0191
infinium-omni5-v1.2,Infinium_Omni5,0.9245±0.0253,0.9404±0.0219,0.9128±0.0246,0.9426±0.0204,0.928±0.0242,0.9725±0.0156
