Y	19600799
Y	19617365
Y	19705968
Y	19589554
Y	19726979
Y	19568471
Y	19578564
Y	19591313
Y	19706890
Y	15174126
Y	19606247
Y	19734207
Y	19555341
Y	19704773
Y	19574353
Y	3009437
Y	12915521
Y	12915595
Y	2882367
Y	2883637
Y	7715230
Y	19587995
Y	12757760
Y	22220317
Y	19744379
Y	19124076
Y	7028010
Y	19555629
Y	3020211
Y	12368221
Y	20421621
Y	19577760
Y	3020557
Y	21335370
Y	15916789
Y	8599041
Y	19555586
Y	19612294
Y	19604424
Y	19602615
Y	19601387
Y	19550969
Y	19707633
Y	19706182
Y	19555421
Y	21082056
Y	19589665
Y	19597252
Y	19731417
Y	19450281
Y	12757320
Y	21082140
Y	19719229
Y	21335828
Y	12385373
Y	19682471
Y	6871815
Y	12738919
Y	21146109
Y	2790828
Y	4994820
Y	6954907
Y	2793795
Y	21334445
Y	19606073
Y	19602700
Y	19734362
Y	19730748
Y	19574445
Y	19602808
Y	15197387
Y	16980679
Y	19589444
Y	19574418
Y	13365945
Y	13314125
Y	8467162
Y	8816997
Y	8817189
Y	11871573
Y	12360998
Y	12361463
Y	19450382
Y	19448967
Y	6974222
Y	21335181
Y	12702131
Y	19704778
Y	19577868
Y	3007486
Y	19716813
Y	3020436
Y	19590758
Y	19617348
Y	7064107
Y	6900224
Y	19719141
Y	7064780
Y	7063966
Y	19727932
Y	19578830
Y	3025236
Y	13314120
Y	12738531
Y	15175792
Y	3677131
Y	19544091
Y	19544474
Y	12914483
Y	11880318
Y	2795666
Y	21843530
Y	19745211
Y	19603877
Y	19745508
Y	19602788
Y	19602572
Y	19595420
Y	19579869
Y	19731413
Y	19578550
Y	19742201
Y	7715213
Y	7350087
Y	12379881
Y	12379868
Y	12380239
Y	6872336
Y	20507639
Y	19734314
Y	6991916
Y	6946205
Y	19567953
Y	19589123
Y	19580272
Y	19595430
Y	19616827
Y	6872130
Y	13479594
Y	10081863
Y	10182366
Y	11302971
Y	11303489
Y	10183027
Y	10183049
Y	11304045
Y	11304785
Y	11305087
Y	10183059
Y	11305200
Y	11305230
Y	11305240
Y	11305388
Y	11305408
Y	10183065
Y	11305414
Y	11305470
Y	11305475
Y	11305573
Y	10183068
Y	11305595
Y	11305657
Y	11307622
Y	10183075
Y	11308876
Y	11308910
Y	11308921
Y	11308985
Y	11309026
Y	11309099
Y	11309275
Y	11309463
Y	11309468
Y	11309521
Y	11309528
Y	11309558
Y	11309797
Y	11309934
Y	10183094
Y	11310218
Y	11310247
Y	10183099
Y	11310349
Y	11310395
Y	11310407
Y	10183103
Y	11311117
Y	11311143
Y	11311145
Y	11311189
Y	11311195
Y	11311638
Y	11311652
Y	11311704
Y	11311732
Y	10183212
Y	11311755
Y	11311780
Y	11311889
Y	11311926
Y	11311935
Y	11311941
Y	10081873
Y	11312027
Y	11312033
Y	11312160
Y	11312168
Y	11312173
Y	11312189
Y	10183227
Y	11312227
Y	11312406
Y	11312465
Y	11312520
Y	11312650
Y	11312685
Y	11312689
Y	11312797
Y	11313031
Y	11313179
Y	11313505
Y	11313612
Y	11314162
Y	11316868
Y	11316934
Y	11317825
Y	11318259
Y	11318272
Y	11318379
Y	10183605
Y	11319389
Y	11319883
Y	11320285
Y	11320785
Y	11323532
Y	11323703
Y	11323904
Y	11324606
Y	11324717
Y	11325459
Y	11325594
Y	11325823
Y	11325832
Y	10183692
Y	11325868
Y	11325897
Y	11326047
Y	11326136
Y	10183720
Y	11326273
Y	11326467
Y	11326473
Y	11326496
Y	11326697
Y	11326701
Y	10081891
Y	11326768
Y	11326867
Y	11327096
Y	11327383
Y	10183921
Y	11328033
Y	11328203
Y	11328277
Y	11328369
Y	11328817
Y	10183939
Y	11328895
Y	10184046
Y	11329153
Y	11329165
Y	11329279
Y	11329658
Y	11329738
Y	11329742
Y	10184078
Y	11329752
Y	11329757
Y	11329782
Y	11329952
Y	11330016
Y	11330063
Y	11330065
Y	11330067
Y	11330084
Y	10184110
Y	11330567
Y	11330581
Y	11330627
Y	11330672
Y	11330936
Y	10184120
Y	11334278
Y	10184133
Y	11368831
Y	11487340
Y	11495165
Y	11496613
Y	10185666
Y	11497418
Y	11499801
Y	10185755
Y	10185991
Y	11504862
Y	11506775
Y	10186043
Y	11509012
Y	11509052
Y	11510376
Y	11511960
Y	11512393
Y	10186121
Y	11513008
Y	11513010
Y	11513038
Y	11513711
Y	11513874
Y	10186195
Y	11516127
Y	11517656
Y	11518608
Y	11518655
Y	11518996
Y	11519996
Y	11520532
Y	10186276
Y	11520864
Y	10186290
Y	11521444
Y	10186309
Y	11523255
Y	10186317
Y	11525083
Y	11530966
Y	11531277
Y	11531287
Y	11531376
Y	11531436
Y	11531702
Y	11531739
Y	11532021
Y	11532064
Y	11532071
Y	10186393
Y	10186462
Y	11532891
Y	11533958
Y	11537525
Y	11537529
Y	11537858
Y	11538022
Y	11538055
Y	11539253
Y	11539478
Y	10186710
Y	11551045
Y	11559199
Y	11561505
Y	10186908
Y	11679166
Y	11679736
Y	10187013
Y	10187021
Y	11681559
Y	11681581
Y	11681596
Y	11682282
Y	11682300
Y	11682395
Y	11684568
Y	10187489
Y	10187547
Y	10187567
Y	10187599
Y	10187636
Y	10187668
Y	11691112
Y	10188441
Y	11692446
Y	11692475
Y	11692785
Y	11693005
Y	10189088
Y	10189089
Y	10189099
Y	10189143
Y	10189149
Y	10189355
Y	11703391
Y	10189372
Y	10189933
Y	10190373
Y	11710985
Y	11711023
Y	10190604
Y	10191177
Y	10191180
Y	11722050
Y	11722756
Y	11725797
Y	11726486
Y	11727005
Y	10191678
Y	11730325
Y	11732456
Y	10191937
Y	11734833
Y	11734838
Y	11734843
Y	11734891
Y	11734892
Y	11735729
Y	11736738
Y	11739181
Y	10192081
Y	11739634
Y	11740736
Y	11741863
Y	10192271
Y	10192282
Y	11743841
Y	11744444
Y	11744741
Y	11745301
Y	10193814
Y	11746591
Y	11747096
Y	10193842
Y	11747693
Y	10193851
Y	11748416
Y	10193957
Y	11969313
Y	11985547
Y	12076092
Y	12420268
Y	10194184
Y	12757253
Y	12779601
Y	12816022
Y	12816025
Y	12842193
Y	12842478
Y	10194203
